International borders a step closer to re-opening,A new digital border pass will enable vaccinated Australians to travel overseas.</,9News,"Mon, 13 Sep 2021 22:15:42 +0000"
'Too early to know' if decreasing cases in NSW is a trend,A total of 1127 cases have been recorded in the state today as well as two deaths.</,9News,"Tue, 14 Sep 2021 01:10:17 +0000"
Tradies who rushed to alleged beach stabbing victim's aid speak,Two builders have spoken about the moment they rushed to the rescue of a young woman who was allegedly stabbed by a teenage stranger at a Queensland beach.</,9News,"Tue, 14 Sep 2021 00:08:32 +0000"
Lockdown extended for ACT as 22 new COVID-19 cases recorded,The Australian Capital Territory will spend four more weeks in lockdown after it recorded 22 new COVID-19 cases.</,9News,"Tue, 14 Sep 2021 02:07:56 +0000"
"Homeless woman dies after being raped, assaulted in India",An Indian woman allegedly assaulted and raped in Mumbai on Friday has died of her injuries.</,9News,"Tue, 14 Sep 2021 00:09:56 +0000"
Eight injured after 40-person brawl on Queensland street,"el="""">brawl</a> on a residential Queensland street.",9News,"Tue, 14 Sep 2021 00:04:31 +0000"
NSW records 1127 new cases in 'pleasing' slowdown to daily increases,"Coronavirus daily cases have dropped to 1127 new infections in New South Wales, however experts are warning it&#x27;s &quot;too early&quot; to know if the curve is flattening. </",9News,"Tue, 14 Sep 2021 01:09:17 +0000"
Man in his 20s among two new COVID-19 deaths as Victoria records 445 new cases,A man in his 20s is one of two Victorians who have died of COVID-19 in the past 24 hours as the state recorded 445 new local COVID-19 cases.</,9News,"Tue, 14 Sep 2021 01:34:36 +0000"
"Travel vaccine mandate could segregate society, experts warn","Experts have warned mandating vaccines for travel could be problematic and promote segregation, as the federal government prepares to trial vaccine passports for international travel.</",9News,"Tue, 14 Sep 2021 00:31:47 +0000"
Search for missing US 22-year-old who vanished during van trip,The family of a missing 22-year-old New York woman are begging for help to find her after she vanished during a road trip with her boyfriend.</,9News,"Tue, 14 Sep 2021 01:46:43 +0000"
Lawyer for Prince Andrew vows he'll fight 'baseless' lawsuit,"Lawyer Andrew Brettler went on the offensive against Virginia Giuffre, telling a judge in New York that her claim was &quot;baseless, non-viable and potentially unlawful.&quot;</",9News,"Mon, 13 Sep 2021 22:37:31 +0000"
Lego Super Mario 64 delights fans of iconic video game 25 years on,The Lego block opens up to reveal four miniature levels from Super Mario 64 that&#x27;ll have fan&#x27;s hearts pumping.</,9News,"Tue, 14 Sep 2021 00:22:37 +0000"
