Liveable Income Guarantee: a rich country can do better,The shift of wealth to the wealthier is driving interest in Universal Basic Income and Job Guarantee proposals as millions of Australians are being left behind by Australia's mean welfare system. Can Labor do better? Brian Toohey reports.,Brian Toohey,"Mon, 13 Sep 2021 13:49:30 +0000"
Gucci Handbag: Josh Frydenberg’s JobKeeper gifts to Gucci and Prada,Gucci and Prada owe Josh Frydenberg a debt of gratitude. Louis Vuitton is not alone. The Italians got JobKeeper too. Michael West reports as evidence emerges the Treasurer opted to ignore advice regarding a claw-back mechanism to get the money back from profitable companies.,Michael West,"Mon, 13 Sep 2021 01:01:27 +0000"
The Other 9/11: secrecy fight over Australian spies helping CIA overthrow Chile’s President,"On the eve of it's 48th anniversary, documents just declassified by the Australian National Archives show the extent to which the Australian Secret Intelligence Service (ASIS) worked closely with the CIA in the lead-up to the Coup-d'état in Chile in September 1973. Story by Peter Kornbluh and Clinton Fernandes",Kim Wingerei,"Fri, 10 Sep 2021 15:05:00 +0000"
“Everybody did it”: wealthy doctors lobbies ride JobKeeper gravy train,JobKeeper for dentists? Fair enough. But more public subsidies for doctors who enjoyed rising surpluses or hardly suffered a downturn? Callum Foote reports on Australia’s Medical Colleges ,Callum Foote,"Wed, 08 Sep 2021 21:54:27 +0000"
Manal Al-Sharif: Australia’s new surveillance laws remind me of home,"""I left Saudi Arabia, one of the world’s most oppressive regimes. But the Australian Government’s recent draconian rules remind me so much of home."" Cyber security expert and human rights luminary Manal Al-Sharif reports on the dangers of the new surveillance laws.",Manal al-Sharif,"Tue, 07 Sep 2021 19:08:51 +0000"
"Political Dynamite: JobKeeper for billionaires a campaign wrecker for Morrison, Frydenberg","Big business doesn't vote, small business does. That's the dilemma for Scott Morrison and Josh Frydenberg as they strive to keep JobKeeper secret heading into the election. Michael West reports",Michael West,"Mon, 06 Sep 2021 00:30:47 +0000"
Human rights violations now enshrined in legislation – in Australia,"Last week, the Morrison government, supported by the ALP, passed a law that allows for security agencies, on the most flimsy of pretexts, to access and manipulate the electronic data of any citizen. It continues the slide into authoritarianism that started with the Tampa affair 20 years ago.",Greg Barns,"Sat, 04 Sep 2021 21:00:42 +0000"
"The Nouveau Poor – gender pay gap, super inequality stretched in pandemic","Sixty one. That’s the additional number of days women currently have to work in a financial year to earn as much as their male counterparts. And when it comes to superannuation, the gender gap gets worse.",Harry Chemay,"Sat, 04 Sep 2021 00:30:59 +0000"
"Wollemi Mine? Experts label Barilaro’s plan for new coal “corrupt”, unviable","The NSW government is pushing through new coal exploration areas in the state’s mid-west, which have been labelled unviable and “corrupt” by independent experts even as the G7 call a halt on all new coal mining reports Callum Foote",Callum Foote,"Thu, 02 Sep 2021 20:57:57 +0000"
"High-End Heist: Josh sells Pauline the dummy, JobKeeper heat rises",Treasurer Josh Frydenberg and his big business patrons are in crisis mode amid rising demands to end the JobKeeper cover-up and disclose the transfer of billions to profitable companies. Michael West on the unfolding political drama.,Michael West,"Wed, 01 Sep 2021 19:58:47 +0000"
