Category: All categories

day,Total
2021-09-13,117
2021-09-14,458
2021-09-15,415
2021-09-16,431
2021-09-17,385
2021-09-18,345
2021-09-19,374
2021-09-20,416
2021-09-21,409
2021-09-22,385
2021-09-23,389
2021-09-24,382
2021-09-25,324
2021-09-26,387
2021-09-27,409
2021-09-28,416
2021-09-29,398
2021-09-30,392
2021-10-01,397
2021-10-02,328
2021-10-03,393
2021-10-04,422
2021-10-05,403
2021-10-06,411
2021-10-07,393
2021-10-08,378
2021-10-09,354
2021-10-10,400
2021-10-11,427
2021-10-12,411
2021-10-13,382
2021-10-14,400
2021-10-15,382
2021-10-16,366
2021-10-17,387
2021-10-18,419
2021-10-19,404
2021-10-20,398
2021-10-21,413
2021-10-22,389
2021-10-23,328
2021-10-24,388
2021-10-25,403
2021-10-26,402
2021-10-27,394
2021-10-28,383
2021-10-29,393
2021-10-30,347
2021-10-31,380
2021-11-01,415
2021-11-02,412
2021-11-03,399
2021-11-04,407
2021-11-05,373
2021-11-06,355
2021-11-07,371
2021-11-08,418
2021-11-09,423
2021-11-10,424
2021-11-11,402
2021-11-12,382
2021-11-13,345
2021-11-14,377
2021-11-15,425
2021-11-16,363
2021-11-17,450
2021-11-18,394
2021-11-19,369
2021-11-20,360
2021-11-21,346
2021-11-22,427
2021-11-23,383
2021-11-24,419
2021-11-25,405
2021-11-26,377
2021-11-27,341
2021-11-28,367
2021-11-29,428
2021-11-30,389
2021-12-01,409
2021-12-02,394
2021-12-03,374
2021-12-04,355
2021-12-05,418
2021-12-06,405
2021-12-07,412
2021-12-08,399
2021-12-09,384
2021-12-10,374
2021-12-11,361
2021-12-12,382
2021-12-13,399
2021-12-14,387
2021-12-15,400
2021-12-16,421
2021-12-17,391
2021-12-18,325
2021-12-19,397
2021-12-20,378
2021-12-21,392
2021-12-22,362
2021-12-23,359
2021-12-24,342
2021-12-25,262
2021-12-26,340
2021-12-27,362
2021-12-28,377
2021-12-29,380
2021-12-30,384
2021-12-31,346
2022-01-01,348
2022-01-02,343
2022-01-03,367
2022-01-04,375
2022-01-05,425
2022-01-06,382
2022-01-07,370
2022-01-08,334
2022-01-09,364
2022-01-10,398
2022-01-11,369
2022-01-12,372
2022-01-13,396
2022-01-14,378
2022-01-15,347
2022-01-16,356
2022-01-17,401
2022-01-18,425
2022-01-19,381
2022-01-20,367
2022-01-21,394
2022-01-22,348
2022-01-23,337
