Victoria Police criticised for extra police presence during inquest into Aboriginal death,"A coroner slams Victoria Police for its ""ignorant"" display of police officers at a hearing into the death of an Aboriginal man, saying it demonstrates how much the justice system has to learn. ",Dana Morse and Rachel Clayton,"Fri, 02 Jul 2021 07:53:10 +0000"
Power company part-liable for Perth Hills bushfire sparked by power pole which razed 57 homes,"Electricity distributor Western Power is partly liable for a devastating fire in 2014, sparked by a damaged power pole in the Perth hills, the WA Court of Appeal finds.",David Weber,"Fri, 02 Jul 2021 07:50:46 +0000"
"Kohei was evicted from his home for the 1964 Olympics. Fifty years later, it happened again","When Kohei Jinno was evicted from his family home for the 1964 Tokyo Olympics, he was proud to contribute. When it happened again 50 years later, it felt like a bitter twist of fate.",David Weber,"Fri, 02 Jul 2021 07:43:50 +0000"
'Voters are asking us to do more': Victorian Nationals push back on Joyce's climate policy,Climate change policy and the knifing of Michael McCormack as the Nationals leader have deepened a rift between the federal party and the Victorian branch.,Richard Willingham,"Fri, 02 Jul 2021 07:42:42 +0000"
NRL live: Warriors clash with Dragons before Panthers meet Eels,"The Warriors and Dragons battle for crucial competition points on the Central Coast, while the Panthers will be without star halfback Nathan Cleary when they come up against the Eels in Penrith. Follow our ScoreCentre for all the live scores and stats.",Richard Willingham,"Fri, 02 Jul 2021 07:34:58 +0000"
"Firearms, ammo seized by police investigating alleged theft of $700k worth of cattle","Police raid a station near Katherine after receiving a complaint from a neighbouring property about allegedly stolen cattle valued at nearly $700,000.",Daniel Fitzgerald,"Fri, 02 Jul 2021 07:32:36 +0000"
"#MeToo founder, support workers warn of 'chilling effect' Bill Cosby's release will have on assault survivors","Leaders in the sexual assault movement say support centre hotlines are ringing off the hook as survivors react to the ""deeply painful"" decision to overturn the comedian's conviction. ",Daniel Fitzgerald,"Fri, 02 Jul 2021 07:00:38 +0000"
Mayor resigns following blackmail allegation,"Bathurst Regional Council Mayor Bobby Bourke has stepped down, after the ABC revealed allegations of his involvement in an apparent blackmail attempt.",Mollie Gorman,"Fri, 02 Jul 2021 06:40:18 +0000"
Sunshine Coast man tests positive for COVID-19 hours before lockdown set to lift,"Queensland Health detects another community case of COVID-19, in addition to three cases announced earlier today. Lockdown for the region will still ease at 6:00pm.",Emilie Gramenz,"Fri, 02 Jul 2021 06:27:34 +0000"
"Australia's international arrivals cap won't stop COVID outbreaks, says Berejiklian","NSW Premier Gladys Berejiklian says a decision by her National Cabinet colleagues to reduce the number of people arriving in Australia from overseas will not stop ""mistakes"" that lead to future COVID-19 outbreaks ",Bellinda Kontominas,"Fri, 02 Jul 2021 06:11:39 +0000"
