Coalition protects wealthy retirees’ investments under cover of Covid-19 pandemic,The Coalition moved to protect the superannuation of Australia's wealthiest retirees at the same time it was encouraging the nation's poorest to raid their retirement accounts. And they continue to protect the wealthiest even though the Australian share market is back at record highs. Elizabeth Minter reports.,Elizabeth Minter,"Thu, 01 Jul 2021 20:47:15 +0000"
Who to believe on Bondi Cluster: Limousine Man or NSW Government?,"Data published, and quickly updated, by the NSW Department of Health reveals there may have been locally acquired cases in NSW on June 13, four days before “Limousine Man” was recorded as being the Bondi Cluster's ""Patient Zero"". Callum Foote investigates the mess that is Covid data.",Callum Foote,"Thu, 01 Jul 2021 00:18:49 +0000"
"Bali is leading the vaccination race, welcoming tourists soon, but not Australians",Bali will soon have vaccinated 80% of its population over 18 years of age. And it may open up to tourism again within a month or two. But Australians need not apply.,Kim Wingerei,"Wed, 30 Jun 2021 05:59:40 +0000"
Sports rorter Bridget McKenzie back on the front bench courtesy of Barnaby Joyce,"Bridget McKenzie was forced to resign in February 2020 after the ""sports rorts"" affair but, as are the ways of the National Party, misdeeds are quickly forgotten if you back the right leader at the right time. So just like her good buddy, recently resurrected National Party Leader Barnaby Joyce, McKenzie is back on the Coalition government front bench as Minister for Regionalisation, Regional education and Regional Communications.",Kim Wingerei,"Tue, 29 Jun 2021 05:35:38 +0000"
"CitiPower, Powercor: What’s the Scam?","Scammer exposed! A fitting title for the latest financial accounts of billionaire-owned electricity giant Victoria Power Networks, the largest energy operator in Victoria which runs the CitiPower and Powercor networks. But are they getting off with a light sentence from the Tax Office?",Luke Stacey,"Tue, 29 Jun 2021 00:40:12 +0000"
"Carbon Bomb Beetaloo: world goes net zero, yet Coalition steps on the gas, Labor nods","Tracts the size of Bulgaria open for oil and gas exploration, along with generous government subsidies for foreign oil companies. Just as the world is tackling climate change, Australia is accelerating its fossil fuel production, and in almost every state and territory. Callum Foote investigates the bizarre hand-outs for a foreign hedge fund drilling for gas and the carve up of the NT's Beetaloo Basin.",Callum Foote,"Tue, 29 Jun 2021 00:11:25 +0000"
Federal bushfire recovery funds. What’s the scam?,"Scott Morrison's $2 billion bushfire recovery fund is only ""notional"", the vast majority of money has gone to the Liberal states of NSW and SA, and there's no transparency to the spending, with a key website changed to make it even more difficult to find information.",Elizabeth Minter,"Mon, 28 Jun 2021 21:10:48 +0000"
CSL and contaminated blood scandal: UK accepts ‘moral responsibility’; Australia still silent,"The UK Health Secretary has just admitted his government’s ""moral responsibility"" for the UK's contaminated blood scandal of the 1970s and 1980s yet Australian victims are still without compensation or even an apology.",Elizabeth Minter,"Fri, 25 Jun 2021 04:09:41 +0000"
NSW pokies: What’s the Scam?,"NSW has the world’s worst pokies losses per capita at $7 billion per year, equivalent to more than $1,200 for each adult. It's a boon for the state's coffers but the government is proposing reforms to stem the losses, or is it? What's the scam?",Luke Stacey,"Thu, 24 Jun 2021 23:46:52 +0000"
Privacy rights jeopardised with Covid apps tracking every move,"Law enforcement agencies have a cavalier attitude to the right to privacy and a “whatever it takes” attitude to raiding databases of personal information, writes Greg Barns. Given the treasure trove of information now available from all the Covid tracing apps, strong penalties and laws are needed to ensure evidence obtained from those apps cannot be used in legal proceedings.",Greg Barns,"Thu, 24 Jun 2021 07:00:50 +0000"
Charities sponsoring death,,Michael West,"Fri, 02 Jul 2021 06:24:38 +0000"
Jobactive fails jobless while privatised job agencies revel in a record pandemic profit boom,"Large job agencies who dominate Australia's privatised employment system are enjoying a boom of record profits, and even a takeover spree, while their disillusioned job seekers complain of churning and profiteering. Meanwhile, those in government on both sides of the political aisle are calling for reform. In this special investigation, Stephanie Tran reports on the failure of Jobactive.",Stephanie Tran,"Mon, 05 Jul 2021 08:36:38 +0000"
Hayne gets last laugh as “Your Future Your Super” laws deliver for small punters over big bank pals,"The new ""Your Future, Your Super"" legislation avoided the most egregious of changes proposed by the LNP Government. YFYS will simplify and streamline the $3 trillion super system, fix ""zombie accounts"" and spark fund takeovers, writes Harry Chemay. The changes go some way to addressing a key question posed during the Hayne Royal Commission: ""what do trustees do in the dark with our super?""",Harry Chemay,"Tue, 06 Jul 2021 21:01:13 +0000"
Power to go to war rests with one man – Scott Morrison – is Parliament okay with that?,"Australia is a democracy, yet when it comes to the most critical national decision of sending Australian troops into armed conflict overseas, the power rests with one man, the Prime Minister. This is the curtain-raiser for our #warpowers series as reporter Tasha May calls around Australia's parliamentarians and its people.",Tasha May,"Wed, 07 Jul 2021 16:30:23 +0000"
Vultures’ Reprise: MacBankers bob up in takeover battle for hapless Sydney Airport,"Like the muddy hand from the grave, Macquarie is suddenly circling Sydney Airport again. Michael West reports on the ultimate circus of privatisation, where Macquarie pillaged the most prized asset in Australia, the unregulated monopoly which is this country's gateway to the world, and is shaping up to do it again.",Michael West,"Fri, 09 Jul 2021 01:07:48 +0000"
Uber: What’s the Scam?,"Lockdown is bliss for some. Uber Australia's accounts are out - late - and the multinational which defines people on mopeds as its ""partners"", not employees, is coining it. What's the scam?",Michael West,"Sat, 10 Jul 2021 21:18:17 +0000"
Zali Steggall on war powers reform,,Kim Wingerei,"Sun, 11 Jul 2021 08:37:07 +0000"
Jordon Steele-John on war powers reform,,Kim Wingerei,"Sun, 11 Jul 2021 08:33:25 +0000"
Josh Wilson on war powers reform,,Kim Wingerei,"Sun, 11 Jul 2021 08:26:06 +0000"
Brendan O’Connor on war powers reform,,Kim Wingerei,"Sun, 11 Jul 2021 08:23:21 +0000"
Pauline Hanson on war power reforms,,Kim Wingerei,"Sun, 11 Jul 2021 08:11:19 +0000"
