PM outlines pathway out of pandemic,Scott Morrison has outlined a four-point plan to transition Australia&#x27;s national COVID-19 response to post-vaccination settings.</,9News,"Fri, 02 Jul 2021 02:45:56 +0000"
Perth and Peel to exit lockdown,"The stay-at-home order will be lifted, but strict interim restrictions will remain after WA recorded one new COVID-19 case.</",9News,"Fri, 02 Jul 2021 06:56:30 +0000"
Man jailed after teen stabbed to death over baseball cap,A knife-wielding man who stabbed a teenage boy to death over a baseball cap in Melbourne&#x27;s north-west has been jailed for more than a decade.</,9News,"Fri, 02 Jul 2021 07:04:49 +0000"
Flying car completes 35-minute test flight between cities,"A prototype flying car has completed a test flight between two cities in Slovakia, spending 35 minutes airborne.</",9News,"Fri, 02 Jul 2021 04:45:33 +0000"
Optus systems back online after mass outage,Optus has advised users that the majority of their systems are back up and running after a mass outage was reported earlier today.</,9News,"Fri, 02 Jul 2021 05:17:45 +0000"
Deadly venom-spitting cobra recaptured after three days on loose,A deadly venom spitting cobra that escaped from its owners&#x27; home in the US has finally been captured after spending three days on the loose.</,9News,"Fri, 02 Jul 2021 04:19:38 +0000"
'Zebra murders' convict dies in California medical prison,A man convicted along with three others in the racially motivated killing spree that terrorised San Francisco in the 1970s died in a prison cell. </,9News,"Fri, 02 Jul 2021 03:34:36 +0000"
"Boy, 12, becomes youngest grandmaster in chess history","At just 12 years of age, Abhimanyu Mishra has become the youngest grandmaster in chess history.</",9News,"Fri, 02 Jul 2021 05:32:01 +0000"
China 'building more than 100 desert missile silos',"China is building more than 100 missile silos in a remote desert, analysis of satellite imagery suggests.</",9News,"Fri, 02 Jul 2021 03:43:43 +0000"
How the Prime Minister's 'four-phase' road back to normal will work,Australians have at last been offered a look at the national pathway out of the COVID-19 pandemic.</,9News,"Fri, 02 Jul 2021 02:42:01 +0000"
NSW virus cases spike with 31 cases,"As NSW nears the end of its first week in lockdown, the state is continuing to see a rise in COVID-19 numbers.</",9News,"Fri, 02 Jul 2021 01:56:44 +0000"
Sydneysiders turn out in force for jabs,Vaccine demand has swelled in Sydney as authorities rush to contain a fast-moving outbreak.</,9News,"Fri, 02 Jul 2021 03:39:42 +0000"
Brothers unite to unveil Princess Diana statue,"Prince William and Prince Harry have united to unveil a statue of their mother, Princess Diana.</",9News,"Thu, 01 Jul 2021 14:18:08 +0000"
'Just pure relief': Woman flown in finally gets to see dying father,"An Australian woman has made it in time to see her dying father, after red tape and quarantine rules and a demand for her to spend $8000 on a private plane left her battling to be able to get there.</",9News,"Thu, 01 Jul 2021 21:24:46 +0000"
Potential isolation breach could extend Darwin's lockdown,"el="""">COVID</a>-positive man, who allegedly breached his isolation order by visiting a convenience store, has put the end of Darwin&#x27;s lockdown in jeopardy",9News,"Thu, 01 Jul 2021 21:16:01 +0000"
Interactive: Track the vaccine rollout,"As health authorities have said from the start, a vaccinated population is the only sure way to contain COVID-19.</",9News,"Wed, 30 Jun 2021 06:25:45 +0000"
Australian troops 'have left Afghanistan' ahead of US pullout,The Federal Government has refused to comment on reports that the Australian Defence Force (ADF) has completed its withdrawal from Afghanistan.</,9News,"Thu, 01 Jul 2021 03:05:05 +0000"
NSW chasing seven unlinked cases of COVID-19,Authorities are trying to track down seven unlinked cases connected to the state&#x27;s latest outbreak.</,9News,"Thu, 01 Jul 2021 18:00:56 +0000"
'Broken heads and bloodshed': Chinese leader's vow at centenary,"="""" rel="""">Xi Jinping</a> has marked today&#x27;s 100th anniversary of the founding of the ruling Communist Party by declaring only socialism can save China",9News,"Thu, 01 Jul 2021 02:24:40 +0000"
'It's the truth': Queensland CHO doubles down on vaccine blast,Queensland&#x27;s Chief Health Officer says she does not regret advising people aged under 40 to refrain from getting the AstraZeneca jab.</,9News,"Thu, 01 Jul 2021 09:36:05 +0000"
Queensland to lift lockdown tonight amid five local cases,"Queensland has recorded five local cases of COVID-19 in the last 24 hours amid more than 25,000 tests.</",9News,"Sat, 03 Jul 2021 03:13:53 +0000"
'Don't get caught up in whacko views': Hazzard slams people refusing to wear masks,"Two owners of a cafe in Jindabyne have been arrested for refusing to wear face masks, and a further 78 people have been issued fines as police crack down on public health order breaches.</",9News,"Sat, 03 Jul 2021 03:52:12 +0000"
Politicians' statements on COVID vaccines 'jamming' GP phone lines,A Sydney GP has said her phone lines are &quot;jammed&quot; whenever a politician speaks up about the COVID-19 vaccine.</,9News,"Sat, 03 Jul 2021 00:48:17 +0000"
"Pilots rescued, one critical after plane crashes into ocean off Hawaii",A cargo plane crashed in the Pacific Ocean off the coast of Hawaii early Friday and both people on board have been rescued.</,9News,"Fri, 02 Jul 2021 23:05:24 +0000"
Top doctor says full Australian vaccinations by year's end 'very realistic',One of Australia&#x27;s top doctors has said it&#x27;s &quot;very realistic&quot; that everyone who wants to be fully vaccinated against COVID-19 could have both their jabs by the end of the year. </,9News,"Fri, 02 Jul 2021 23:19:11 +0000"
"NSW records 35 new local cases of COVID-19, nine infectious in community","&quot;While, as predicted, the number of cases is going up, we are seeing a greater proportion of those cases in isolation,&quot; NSW Premier Gladys Berejiklian said. </",9News,"Sat, 03 Jul 2021 01:38:17 +0000"
Two more bodies found in collapsed Miami apartments as 128 still missing,"The number of people missing in the Florida condominium collapse fell substantially Friday, from 145 to 128, after duplicate names were eliminated and some residents reported missing turned up safe, officials said.</",9News,"Fri, 02 Jul 2021 22:23:03 +0000"
Aussies stuck overseas 'heartbroken' by flight cuts,Australians trying to get home have been left &quot;devastated&quot; and &quot;heartbroken&quot; by the slashing of numbers of them allowed back into the country.</,9News,"Fri, 02 Jul 2021 21:06:58 +0000"
Ruptured gas pipeline sees fire boiling to ocean's surface,"Mexico&#x27;s state-owned oil company said Friday it suffered a rupture in an undersea gas pipeline in the Gulf of Mexico, sending flames boiling to the surface in the Gulf waters.</",9News,"Sat, 03 Jul 2021 00:06:55 +0000"
'Look at Sydney': McGowan defends Perth lockdown after no new cases,No new cases of COVID-19 have been recorded in Western Australia as the state exits its snap lockdown.</,9News,"Sat, 03 Jul 2021 02:57:45 +0000"
Leaked: Apple iPhone 12s 2021 design revealed,Apple has grown so big that the company is unable to keep its new products secret.</,9News,"Fri, 02 Jul 2021 21:48:04 +0000"
NRL player's brother identified as victim of alleged road rage crash,Police probing tragedy linked to woman&#x27;s release from correctional centre.</,9News,"Fri, 02 Jul 2021 10:57:03 +0000"
Brisbane lockdown to end tonight,"Queensland has recorded five local cases of COVID-19 in the last 24 hours amid more than 25,000 tests.</",9News,"Sat, 03 Jul 2021 03:13:53 +0000"
Lockdowns lifted for some states and territories,Millions around Australia have been thrust into lockdown as states and territories battle a nationwide COVID-19 outbreak.</,9News,"Sat, 03 Jul 2021 06:54:25 +0000"
'We will continue to bring people home',Federal Health Minister Greg Hunt says the government hasn&#x27;t forgotten the thousands of Australians still waiting to get home.</,9News,"Sat, 03 Jul 2021 06:51:58 +0000"
'Don't get caught up in whacko views': Hazzard slams anti-maskers,"Two owners of a cafe in Jindabyne have been arrested for refusing to wear face masks, and a further 78 people have been issued fines as police crack down on public health order breaches.</",9News,"Sat, 03 Jul 2021 03:52:12 +0000"
Almost two dozen missing after Japan landslide,"Disaster management officials in Shizuoka prefecture in central Japan said the mudslide occurred on Saturday morning in Atami, a town known for hot springs.</",9News,"Sat, 03 Jul 2021 06:04:49 +0000"
Kate Middleton makes surprise appearance at Wimbledon,"The Duchess of Cambridge has made an appearance at Wimbledon, attending the prestigious tennis tournament sporting a polka dot dress and blazer.</",9News,"Sat, 03 Jul 2021 07:30:55 +0000"
NSW records 35 new local COVID cases,"The NSW Premier said there is some light at the end of the tunnel, with a greater proportion of the cases in isolation.</",9News,"Sat, 03 Jul 2021 01:38:17 +0000"
Teen hit and killed by truck while helping car crash victims,NSW Police said the boy was doing the right thing by checking on other people.</,9News,"Sat, 03 Jul 2021 08:58:41 +0000"
