"The Sydney Morning Herald Photos of the week, July 1, 2021",in photos from the award winning Sydney Morning Herald and Financial review photographe,None found,"Fri, 02 Jul 2021 18:08:57 +1000"
Australia news LIVE: NSW COVID-19 cases and exposure sites grow; Morrison reveals four-phase reopening scheme,"onal arrivals are set to be halved, a staged plan will be brought in to help Australia overcome COVID-19, and Western Australia and the Northern Territory have had their lockdowns lift",Angus Thompson,"Fri, 02 Jul 2021 18:08:14 +1000"
An end is in sight for weary nation in COVID-19 marathon, is often cited as a best-case scenario in dealing with COVID-19. It’s time we remembered what put us in that position. It did not happen by chan,The Herald's View,"Fri, 02 Jul 2021 18:07:00 +1000"
Scientific and digital literacy to feature in new NAPLAN test,will be tested on their digital and scientific literacy and on their ability to think creatively and critically as part of a revamped NAPLAN te,Adam Carey,"Fri, 02 Jul 2021 18:04:11 +1000"
"Tale of two servos: Petrol stations, markets could land people in lockdown",ockdown measures mean those on Brisbane’s border would need to be careful where they travelled to avoid going back into restrictions on Saturd,Cloe Read,"Fri, 02 Jul 2021 18:00:00 +1000"
Will a Waller on track for greatness emerge from Midway?,"y has been introduced for trainers of a certain standing, but Saturday’s inaugural running abounds with ability both seasoned and risi",Max Presnell,"Fri, 02 Jul 2021 18:00:00 +1000"
Race-by-race preview and tips for Rosehill on Saturday,g you need to know to find a winner on the bumper 10-race ca,None found,"Fri, 02 Jul 2021 18:00:00 +1000"
Western Power found liable for damage in Parkerville fire but now faces a $50m problem, Court appeal which found the state-owned entity had the most responsibility for the 2014 Parkerville fire means it may now need to spend $50 million to map out private power pol,Peter de Kruijff,"Fri, 02 Jul 2021 17:57:32 +1000"
"Delta outbreak is twice as infectious, but experts unsure if it’s more deadly","’s health system is treating 172 COVID-19 cases, chief health officer Dr Kerry Chant said on Friday, but only a fraction of those are in hospital or being treated in the I",Lucy Carroll,"Fri, 02 Jul 2021 17:52:46 +1000"
Melbourne could play Thursday night blockbuster; Pies retain Cox,s being cautious about locking in the round-17 fixture amid COVID but Port Adelaide v Melbourne is firming as next Thursday night’s blockbust,Peter Ryan,"Fri, 02 Jul 2021 17:50:53 +1000"
‘I can’t see Robbie playing for another club’: Noble can’t see Tarrant moving on," coach David Noble says he can’t see veteran defender Robbie Tarrant moving on, despite him being out of contract at the end of the seas",Roy Ward,"Fri, 02 Jul 2021 17:47:41 +1000"
Deputy commissioners loom as replacements for outgoing top cop Mick Fuller," of senior NSW Police officers are most likely to take over as commissioner in charge of the state’s 17,500-strong for",Fergus Hunter,"Fri, 02 Jul 2021 17:42:57 +1000"
Westpac sues firm run by soccer entrepreneur over alleged $200m fraud,as launched legal action against a firm run by a Sydney entrepreneur and football personality over an alleged fraud that could expose the bank to more than $200 million in loss,Charlotte Grieve,"Fri, 02 Jul 2021 17:42:08 +1000"
NRL 2021 LIVE updates: Warriors v Dragons and Panthers v Eels,"ed this week how close they came to pairing up, but there will be little love lost when Penrith host the Eels.  Before that, it’s the Dragons looking to stay in the eig",Adrian Proszenko,"Fri, 02 Jul 2021 17:31:51 +1000"
Marooned: NRL denies Ronald Mulitalo’s plea to play Origin for Queensland,as denied the winger clearance to be chosen by the Maroons despite being dramatically ruled out of his Origin debut last week over an eligibility furo,Adam Pengilly,"Fri, 02 Jul 2021 17:26:14 +1000"
Perth to exit lockdown despite new case being recorded overnight,ncement comes after the northern suburbs cluster grew to five on Friday when a close contact of a previously confirmed case tested positive while in isolati,Heather McNeill,"Fri, 02 Jul 2021 17:24:28 +1000"
"WA travel permitted but wining, drinking and dining off the menu",kers and hospitality businesses will take the easing of lockdown restrictions with a grain of salt after strict conditions were imposed including on those travelling to the regio,David Prestipino,"Fri, 02 Jul 2021 17:17:03 +1000"
‘Wall of high-rise buildings’: Plans for 45-storey towers at Blackwattle Bay,Minister Rob Stokes says the plans include 1550 apartments; Sydney MP Alex Greenwich says the building heights would render most people “speechles,Megan Gorrey,"Fri, 02 Jul 2021 17:14:27 +1000"
"Where are we going today, Mum? Not far, darlings. Alpaca some sandwiches",estinations within a short drive of the city are riding a holiday boom as Victorian day trippers and holidaymakers rush out for spontaneous brea,Benjamin Preiss,"Fri, 02 Jul 2021 17:12:44 +1000"
Man charged with ramming motorbike cop twice on Gateway Motorway,"ent occurred almost two months ago and the accused was arrested that night, but police have now laid charg",Toby Crockford,"Fri, 02 Jul 2021 17:08:37 +1000"
Perth lockdown lifted with two-stage step-down: what the new rules mean for you,y lockdown will be lifted at midnight on Friday with restrictions to be stepped down until potentially going back to life before the shut down from July ,Peter de Kruijff,"Fri, 02 Jul 2021 17:08:31 +1000"
