"Pfizer vaccine available for over 60s in WA from next week, Mark McGowan announces","West Australians aged 60 and older will be eligible to receive the Pfizer COVID-19 vaccine from Monday next week, the Premier says.",Rhiannon Shine,"Tue, 14 Sep 2021 02:06:06 +0000"
'Not very pretty': Whale carcass to be recovered by SA Museum as big 'stench' heats up,"The smelly carcass of a rare whale, which has been mauled by sharks and left to rot on a northern Adelaide beach, will be cut up and removed by SA Museum staff and the local council.",Rhiannon Shine,"Tue, 14 Sep 2021 01:57:48 +0000"
"ACT lockdown extended for a month, as territory records 22 new COVID-19 cases",The ACT will remain in lockdown for another four weeks amid persistent new case numbers in the community.,Antoinette Radford,"Tue, 14 Sep 2021 01:51:14 +0000"
"NSW records 1,127 COVID-19 cases, two deaths","Deputy health officer Jeremy McAnulty says it is too early to tell if the drop in case numbers means the state is over the highest peak of the Delta outbreak as NSW records 1,127 new COVID-19 cases.",Antoinette Radford,"Tue, 14 Sep 2021 01:03:53 +0000"
"AIS vaccination hub booking error results in hundreds of rescheduled appointments, late-night doses administered",More than 600 Canberrans have their COVID-19 vaccination appointments rescheduled after an overbooking error occurred at the AIS mass vaccination hub.,Charlotte Gore,"Tue, 14 Sep 2021 00:56:04 +0000"
Could Lawn Hill mine be site of next Juukan Gorge tragedy?,"The fallout over the destruction of Western Australia's Juukan Gorge rock shelters is being felt at another mine in Queensland, where a group of Indigenous elders is trying to stop the proposed excavation around a sacred site.",Peter McCutcheon and Bridget Brennan,"Tue, 14 Sep 2021 00:49:06 +0000"
Wild 'de-extinction' plan aims to bring woolly mammoths back to life,"Genetics company Colossal secures funding to create an ""elephant-mammoth hybrid"", saying its technology has the potential to bring back ancient extinct species and restore damaged or lost ecosystems.",Peter McCutcheon and Bridget Brennan,"Tue, 14 Sep 2021 00:31:04 +0000"
'Limb-threatening' injuries after massive brawl involving 40 armed men in Brisbane's south,Queensland police investigate a brawl involving 40 men armed with bats and poles in a southern Brisbane suburb last night.,Peter McCutcheon and Bridget Brennan,"Tue, 14 Sep 2021 00:27:49 +0000"
"Amy spends up to $20,000 a year on magnetic therapy to treat depression. Medicare changes won't help her","After years of lobbying, Medicare will soon partly fund repetitive Transcranial Magnetic Stimulation to treat severe depression. But existing patients won't see a cent. ",Edwina Seselja,"Tue, 14 Sep 2021 00:18:42 +0000"
Regional supermarket operator accused of 'systematic' wage theft of more than $1m,"South Australia's shop workers union alleges the operator of 20 regional Foodland and IGA supermarkets owes at least 64 workers more than $1 million in unpaid wages, launching a claim in the Federal Court.",Sara Tomevska,"Mon, 13 Sep 2021 23:33:27 +0000"
Citizenship rules change: Wallabies' Quade Cooper can become an Australian at last,"The Immigration Minister changes residency rule for ""distinguished"" applicants for citizenship to become Australians, after a Wallabies rugby star was rejected multiple times.",Matthew Doran,"Mon, 13 Sep 2021 23:31:52 +0000"
"US Secretary of State defends chaotic Afghan withdrawal, blames Trump deal","US Secretary of State Antony Blinken pushes against harsh criticism, saying the Biden administration inherited a deal with the Taliban to end the war but no plan for carrying it out.",Matthew Doran,"Mon, 13 Sep 2021 23:22:16 +0000"
"Melbourne man who died of COVID-19 at home had not been tested, health officials say",A man in his 20s and a woman in her 80s become the fifth and sixth people to die from COVID-19 during Victoria's Delta outbreak. The state has recorded 445 new local infections overnight.,Matthew Doran,"Mon, 13 Sep 2021 23:21:56 +0000"
Decade-long ban for Algerian judoka's Olympic withdrawal,"Fethi Nourine's decision to pull out of the Tokyo Olympics judo competition because of the possibility he might face an Israeli opponent all but ends the Algerian judoka's career, after his actions draw a 10-year ban.",Matthew Doran,"Mon, 13 Sep 2021 23:20:36 +0000"
"Authorities praise families, contact tracers as one new COVID case detected in Queensland",Chief Health Officer Jeannette Young says she thinks Brisbane's latest COVID-19 outbreak has been brought under control after a 15-year-old girl who attends St Thomas More College at Sunnybank tests positive.,Matthew Doran,"Mon, 13 Sep 2021 23:00:41 +0000"
Prince Andrew challenges a US court's jurisdiction in sex abuse lawsuit,Prince Andrew argues a US court does not have jurisdiction over a lawsuit filed by a woman who claims he abused her at Ghislaine Maxwell's home and Jeffrey Epstein's island.,Matthew Doran,"Mon, 13 Sep 2021 22:41:11 +0000"
We fact checked Immigration Minister Alex Hawke on refugee resettlement. Here's what we found,Immigration Minister Alex Hawke says Australia ranks around third globally every year in the amount of refugees it resettles. Is that correct? RMIT ABC Fact Check investigates.,David Campbell,"Mon, 13 Sep 2021 22:21:45 +0000"
"At 62, Ross watched a TV show and decided to go for his first run. It went for 10 hours","Eight years and nine ultramarathons later, the 70-year-old endurance runner is eyeing off a 120km challenge.",Zilla Gordon,"Mon, 13 Sep 2021 22:09:21 +0000"
Shipping costs have risen by hundreds of millions of dollars and you may be about to pay for it,The competition regulator is investigating a dramatic surge in fees and charges imposed by port operators on trucking firms to load and unload cargo. ACCC chief Rod Sims believes the higher charges are being passed onto consumers in the form of higher prices. ,Sue Lannin,"Mon, 13 Sep 2021 21:24:30 +0000"
"ASX slips, as NAB says business confidence is improving on 'vaccine rollout'","Australian shares fall in morning trade, following a mixed performance on Wall Street as investors focused on potential corporate tax hikes in the United States and upcoming economic data.",David Chau,"Mon, 13 Sep 2021 21:22:38 +0000"
Unlawful force used in 'disturbing' arrest shows need for better cultural training of police: lawyer,There are renewed calls for greater training of police in Aboriginal towns after a court found officers used unlawful force during the arrest of an elderly Indigenous man.,Julia André and Larissa Waterson,"Mon, 13 Sep 2021 21:07:45 +0000"
Aboriginal health workers fighting COVID vaccine misinformation,"In the Northern Territory's remote community of Yarralin there's a new push from the local Aboriginal health service to get residents vaccinated. While progress has been slow, despite door-knocking and community cook-ups, residents and health workers are determined to get their community protected.",Kate Ashton,"Mon, 13 Sep 2021 20:59:49 +0000"
Crown floats mandatory vaccination policy for both staff and customers,"The resort and casino operator says it is consulting with staff about a mandatory vaccination policy for its 20,000 workers. Unvaccinated people would also be banned from visiting its venues.",Kate Ashton,"Mon, 13 Sep 2021 20:59:20 +0000"
Demand on Queensland's public hospital emergency departments outstripping population growth,"A Queensland Audit Office report says demand for emergency departments is growing at a faster rate than population growth, and more people are presenting at EDs with complex issues.",Emilie Gramenz,"Tue, 14 Sep 2021 07:10:29 +0000"
'Please come forward': Rene Latimore's family say they're searching for answers,"Katie Marchetti is already living with the agony of losing a sister Rene in a suspected homicide but she fears the ""worst is yet to come"". She is urging anyone with information, no matter how small, to contact police.",Angel Parsons,"Tue, 14 Sep 2021 07:06:18 +0000"
'Close to not having an arm': Killick Beach shark attack survivor makes slow recovery,"Two months and eight surgeries later, great white shark attack survivor Joe Hoffman is on a long road to recovery after his near-fatal encounter on the Mid North Coast. ",Kate Aubrey,"Tue, 14 Sep 2021 07:02:04 +0000"
Queensland MPs give emotional speeches ahead of vote to legalise voluntary assisted dying,"Queensland MPs fight back tears, detail personal stories and reveal the ""exhausting"" experience of weighing up opposing views ahead of a vote on proposed laws to legalise voluntary assisted dying in Queensland.",Kate McKenna,"Tue, 14 Sep 2021 06:55:19 +0000"
WA misses out on extra AFL grand final tickets as Bulldogs allocation sells out in hours,"Hopes of additional WA tickets have been dashed after the Western Bulldogs fans quickly snapped up the 12,000 AFL grand final tickets allocated to them.",Blake Kagi,"Tue, 14 Sep 2021 06:51:11 +0000"
"House prices jumped $52,600 in three months, and the RBA says it can't do much about it","Reserve Bank governor Philip Lowe says he understands concerns about rapid house price growth, but it's helping household wealth to grow.",Gareth Hutchens,"Tue, 14 Sep 2021 06:37:14 +0000"
Mystery donors pay some of Christian Porter's legal fees,"Former attorney-general Christian Porter tells federal parliament anonymous donors have covered some of the legal fees he racked up during his defamation case against the ABC, and says he has no way of finding out who they are.",Matthew Doran,"Tue, 14 Sep 2021 06:30:45 +0000"
'They fall into our trap': WA Police pose as drug suppliers to infiltrate organised crime gangs,"WA Police say they posed as international drug suppliers to infiltrate local organised crime gangs, resulting in the seizure of more than 30 kilograms of heroin and methylamphetamine and $7 million in cash.",Matthew Doran,"Tue, 14 Sep 2021 06:30:45 +0000"
